PID,Cycle,Category,PI Last,PI First,PI Title,Gender,PI Country,PI Institution,Orbits,N People,Size,Science Category,Title,
15625,26,GO,Bodewits,Dennis,Dr.,male,USA,Auburn University,36,7,MEDIUM,Solar System,Composition and physical processes of the inner coma of Comet 46P/Wirtanen,
15626,26,GO,Jaskot,Anne,Dr.,female,USA,University of Massachusetts - Amherst,136,42,LARGE,Galaxies and the IGM,The Low-Redshift Lyman Continuum Survey,
15627,26,GO,Adamo,Angela,Dr.,female,SWE,Stockholm University,60,21,MEDIUM,Galaxies and the IGM,CLUES to galaxy evolution: young star clusters as engines of galactic feedback,
15628,26,GO,Biller,Beth,Dr.,female,GBR,"University of Edinburgh, Institute for Astronomy",40,14,MEDIUM,Planets and Planet Formation,A search for sub-Jupiter mass companions to young planetary mass brown dwarfs,
15629,26,GO,Mahy,Laurent,Dr.,male,BEL,KU Leuven,42,6,MEDIUM,Stellar Populations,MAssivE STaR Outflows (MAESTRO),
15630,26,GO,Bastian,Nate,Dr.,female,GBR,Liverpool John Moores University,38,10,MEDIUM,Stellar Populations,A Full Characterisation of the Multiple Population Properties of Young Globular Clusters,
15636,26,GO,Oskinova,Lida,Dr.,female,DEU,Universitat Potsdam,12,11,SMALL,Stellar Physics,What is on the black hole menu? Joint HST/COS and XMM/EPIC spectroscopy of  the X-ray binary M33 X-7.,
15637,26,GO,Rafelski,Marc,Dr.,male,USA,Space Telescope Science Institute,90,16,LARGE,Galaxies and the IGM,Exploring the gaseous surroundings of low-mass galaxies with an HST+MUSE Deep Field,
15638,26,GO,Grodent,Denis,Prof.,male,BEL,Universite de Liege,54,21,MEDIUM,Solar System,Auroral and magnetospheric context for Juno in situ instruments during Cycle 26,
15639,26,GO,Izotov,Yuri,Dr.,male,UKR,"Ukrainian National Academy of Sciences, ITP",45,8,MEDIUM,Galaxies and the IGM,Lyman continuum leakage in z~0.3 - 0.4 dwarf compact star-forming galaxies with stellar masses < 1.e8 Msun,
15640,26,GO,Riess,Adam,Dr.,male,USA,The Johns Hopkins University,110,9,LARGE,Cosmology,The Search for New Physics Amid the Hubble Constant Tension,
15641,26,GO,Dupree,Andrea,Dr.,female,USA,Smithsonian Institution Astrophysical Observatory,12,16,MEDIUM,Stellar Physics,Focus on Betelgeuse,
15642,26,GO,Freedman,Wendy,Prof.,female,USA,University of Chicago,144,10,LARGE,Cosmology,An Independent Determination of the Hubble Constant,
15643,26,GO,Hayes,Matthew,Prof.,male,SWE,Stockholm University,55,24,MEDIUM,Galaxies and the IGM,The Cosmic Evolution of Circumgalactic Gas and Lyman alpha Halos,
15644,26,GO,Perley,Daniel,Dr.,male,GBR,Liverpool John Moores University,45,7,MEDIUM,Cosmology,An Independent View of the z=5 Galaxy Population,
15645,26,GO,Sand,David,Prof.,male,USA,University of Arizona,41,5,MEDIUM,Stellar Physics,The Identification of Failed Supernovae,
15646,26,GO,Stark,Daniel,Prof.,male,USA,University of Arizona,40,5,MEDIUM,Galaxies and the IGM,Massive Stellar Populations at Reionization-Era Metallicities with Ultra-Deep HST/COS Spectroscopy,
15647,26,GO,Teplitz,Harry,Dr.,male,USA,California Institute of Technology,164,45,LARGE,Galaxies and the IGM,Ultraviolet Imaging of the Cosmic Assembly Near-infrared Deep Extragalactic Legacy Survey Fields (UVCANDELS),
15648,26,GO,Parker,Alex,Dr.,male,USA,Southwest Research Institute,206,7,LARGE,Solar System,The Solar System Origins Legacy Survey,
15649,26,GO,Chandar,Rupali,Dr.,female,USA,University of Toledo,38,7,MEDIUM,Stellar Populations,"Clusters, Clumps, Dust and Gas in Extreme Star-Forming Galaxies",
15650,26,GO,Homayouni,Yasamanw,Ms.,female,USA,University of Connecticut,40,15,MEDIUM,Massive Black Holes And Their Host Galaxies,Ultraviolet Echoes of Quasar Accretion Disks,
15651,26,GO,MacGregor,Meredith,Dr.,female,USA,Carnegie Institution of Washington,44,13,MEDIUM,Stellar Physics,The Origin and Impact of Flares in the Closest Planetary System- Proxima Centauri,
15652,26,GO,Treu,Tommaso,Prof.,male,USA,University of California - Los Angeles,35,30,MEDIUM,Cosmology,"H0, the stellar initial mass function, and other dark matters from a large sample of quadruply imaged quasars",
15653,26,GO,Kalas,Paul,Dr.,male,USA,University of California - Berkeley,40,7,MEDIUM,Planets and Planet Formation,Optical coronagraphic imaging of debris disks newly resolved around young stars,
15654,26,GO,Lee,Janice,Dr.,female,USA,California Institute of Technology,122,21,LARGE,Galaxies and the IGM,PHANGS-HST: Linking Stars and Gas throughout the Scales of Star Formation,
15655,26,GO,Johnson,Sean,Dr.,male,USA,Princeton University,39,17,MEDIUM,Massive Black Holes And Their Host Galaxies,"The first high resolution view of the full extent, morphology, and multi-phase nature of radio-loud and quiet AGN feedback with ACS+SBC",
15656,26,GO,Peek,Joshua,Dr.,male,USA,Space Telescope Science Institute,75,5,LARGE,Galaxies and the IGM,QuaStar: The first unobscured view of the Milky Way's Circumgalactic Medium,
15657,26,GO,Roederer,Ian,Dr.,male,USA,University of Michigan,47,9,MEDIUM,Stellar Physics,HD 222925: A unique opportunity to study the full range of nuclei produced by a single r-process event,
15658,26,GO,Sohn,Sangmo,Dr.,male,USA,Space Telescope Science Institute,35,12,MEDIUM,Stellar Populations,Resolved Proper Motions of M31 and the M31-M32 Interaction,
15659,26,GO,Gies,Douglas,Dr.,male,USA,Georgia State University Research Foundation,39,6,MEDIUM,Stellar Physics,The Missing Link in Massive Binary Star Evolution,
15660,26,GO,Johns-Krull,Christopher,Dr.,male,USA,Rice University,50,3,MEDIUM,Stellar Physics,Testing M Dwarf Mass Loss Across the Fully Convective Boundary,
15661,26,GO,McDonald,Michael,Prof.,male,USA,Massachusetts Institute of Technology,40,9,MEDIUM,Galaxies and the IGM,Testing the Limits of AGN Feedback in Starburst and QSO Central Cluster Galaxies,
15662,26,GO,Veilleux,Sylvain,Prof.,male,USA,University of Maryland,50,5,MEDIUM,Massive Black Holes And Their Host Galaxies,Galactic Winds across the Gas-Rich Merger Sequence,
15663,26,GO,Akhshik,Mohammad,Mr.,male,USA,University of Connecticut,60,18,MEDIUM,Galaxies and the IGM,REsolving QUIEscent Magnified (REQUIEM) Galaxies: Uncovering Formation Pathways via Spatially Resolved Gradients at z=1.6-2.9,
15664,26,GO,Levan,Andrew,Prof.,male,GBR,The University of Warwick,45,109,LARGE,Stellar Physics,New insights from gravitational waves combined with electromagnetic light,
